id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
160417810,7676445929237,"QUẦN LÓT NAM RELAX cotton siêu xin cao cấp , QUẦN SỊP NAM RELAX underwear rltk48Relax Store CAM KẾT 100% sản phẩm chính hãng.• Hàng chuẩn thương hiệu RELAX sản xuất, có tem mác chính hãng.• thành phầ...",99000,99000,,,,20.0,,available,,1000.0,1000.0,"quần lót nam relax cotton siêu xin cao cấp chính hãng, quần sịp nam relax underwear rltk48",45784.0,Relax
197170229,2520813584184,"NAM NỮ COUPLE ĐỀU MẶC ĐƯỢC, HÀNG BÁN SHOP STORE DÀY DẶN HÌNH THẬT (ĐỪNG SO SÁNH VỚI HÀNG GIÁ RẺ NHÉ KHÁCH ƠI!!!)* * Chất liệu: Dù Cao Cấp mềm mịn, form chuẩn, vải đẹp+ Nam nữ Couple đều dùng được.- K...",95000,95000,,,,6.0,,available,,1000.0,1000.0,"Áo khoác nam unisex cổ đứng vải dù 2 lớp phối màu độc lạ họa tiết chữ HEBFN đi mưa,cản gió,chống nắng, Áo khoác dù nam nữ màu 3 sọc chất liệu dù gió 2 lớp cao cấp dáng from bóng chày bomber đẹp",740219.0,Jinrinteen
4382605,4810379779973,Chất liệu thun da cá mềm và mátBo lưng thun có dây rút phù hợp với nhiều cỡ bụngCó bo chân giữ ấmQuần có 4 size Size M: dưới 50kg cao dưới 1m75Size L: dưới 65kg cao dưới 1m78Size XL: dưới 75kg cao dướ...,95000,95000,,,,77.0,,available,,1000.0,1000.0,Quần Dài Jogger Nam Phối Sọc 1041,51319.0,Phúc An Fashion
94850989,6236853522227,"""Thương hiệu quần lót nam hàng đầu của phái mạnh""Giới thiệu về Thương hiệu:Brave Person Underwear đã tạo ra những bộ đồ lót độc đáo, gợi cảm và giá cả phải chăng để kích thích mọi người và khiến h...",110000,199000,,89000.0,45.0,11.0,,available,,1000.0,1000.0,"Quần Lót Nam Cao Cấp Brave Person B1112 - Chất liệu cotton cao cấp, thoáng mát, thấm hút mồ hôi tối đa - Thiết kế ôm trọn vòng 3, tôn lên vẻ nam tính.",4510553.0,Brave Person
90961454,5119180494897,"Hình ảnh sản phẩm do shop tự chụp. Hàng thật như hình 100%.Màu lưng và màu vải chọn ngẫu nhiên.Thiết kế quần lót nam nhiều lưng cao cấp kiểu dáng thời trang, sang trọng.Chất liệu vải thun lạnh mềm...",69000,109000,,40000.0,37.0,1.0,,available,,1000.0,1000.0,"Combo 3 Quần Lót Nam Cotton Mềm Mịn Siêu Thoáng Mát, Co Giãn 4 Chiều Cao Cấp Dokafashion EZQLH03 ",246545.0,dokafashion
117583109,6932338090692,"       THÔNG TIN SẢN PHẦM   Áo Khoác Dù Dày Cao Cấp   Áo Khoác Dù Dày Cao Cấp   Chất liệu: Dù Cán 2 lớp,đẹp mềm mại, không nhăn, không ra màu, mặc rất thoải mái.    Kiểu dáng:From ôm, Có túi b...",169000,169000,,,,7.0,,available,,1000.0,1000.0,ÁO KHOÁC DÙ DÀY NAM PHONG CÁCH HÀN QUỐC,111461.0,OEM
58587472,9264356203497,"30size shop-Quần âu nam thời trang công sở , dạ tiệc, dạo phố với với chất liệu vải co giãn và mịn không ra màu, giữ dáng quần không bị hư-chất liệu vải co giãn nhẹ, thoáng mát ,tôn dáng cá tính-Ki...",119000,119000,,,,12.0,,available,,1000.0,1000.0,"quần âu nam công sở dạo phố cao cấp co giãn nhẹ, quần tây nam dáng ôm",111461.0,OEM
55163582,7018576285786,"Quần Bơi Nam Họa Tiết Cá Tính AT171 MayHomes Thun Lạnh Co Giãn Tốt, Mạnh Mẽ Cá TínhMô tả sản phẩm: - Tên sản phẩm: Quần Bơi Nam Họa Tiết Cá Tính AT171 MayHomes Thun Lạnh Co Giãn Tốt, Mạnh Mẽ Cá Tín...",114810,129000,,14190.0,11.0,10.0,,available,,1000.0,1000.0,"Quần Bơi Nam Họa Tiết Cá Tính AT171 MayHomes Thun Lạnh Co Giãn Tốt, Mạnh Mẽ Cá Tính",537679.0,MAYHOMES
138750990,5496168781481,"       Áo Phông Nam cổ tim Chất cotton mềm Mịn Dáng Ôm Nhẹ Thời Trang   THÔNG TIN SẢN PHẨM    Phom dáng đơn giản, không quá kén dáng người mặc là một trong những yếu tố giúp chiếc áo thun này lu...",74260,79000,,4740.0,6.0,1.0,,available,,1000.0,1000.0,Áo Phông Nam cổ tim Chất cotton mềm Mịn Dáng Ôm Nhẹ Thời Trang,111461.0,OEM
164011222,4852120547090,"Áo sơ mi nam trung niên, Áo sơ mi nam công sở Anton, Áo sơ mi trắng dài tay A12Vải cotton thoáng mát, thấm hút tốt, mềm mịn không xùQúy khách tham khảo bảng size của shop để chọn size phù hợp cho mì...",215000,215000,,,,5.0,,available,,1000.0,1000.0,Áo Sơ Mi Nam Công Sở Trung Niên Dài Tay Thương Hiệu Anton màu Nâu Đậm Vải Cotton - YAC128,5402543.0,SOMIANTON
178785868,9516173416348,"Áo phông nam phong cách Hàn Quốc mã TX20:- Chất vải cao cấp 100%- Form áo regular fit, phù hợp với mọi dáng người- Thấm hút và nhanh khô để bạn luôn cảm thấy thoải mái và tự tin- Thoáng khí phù hợ...",229500,459000,,229500.0,50.0,,,available,,1000.0,1000.0,Áo phông nam phong cách Hàn Quốc mã TX20,111461.0,OEM
41654783,2126844584617,"Áo Len Cổ Lọ Nam Phong Cách Hàn Quốc Siêu Ấm - Đủ Màu Đủ SizeVới chất liệu vừa phải, không quá dày, lại không quá mỏng, thích hợp mặc trong thời tiết mát mẻ của cuối thu hay se lạnh của đầu đông,.V...",118000,118000,,,,1.0,,available,,1000.0,1000.0,Áo Len Cổ Lọ Nam Phong Cách Hàn Quốc Siêu Ấm SAL222,248413.0,Haint Boutique
188916571,4805832853656,"  => Với quy trình thu hóa nghiệm ngặt, các sản phẩm đều được làm ra bởi những người thợ lâu năm một cách cẩn thận và chắc chắn.   * CHẤT LIỆU:   - Tất nam cổ ngắn Fasvin với chất liệu : 52% cot...",19000,36000,,17000.0,47.0,2.0,,available,,1000.0,1000.0,Tất nam cổ trung Fasvin mềm mịn co giãn tốt TN21902.HN,494763.0,Fasvin
115955390,6513872418374,"       BẠN MONG MUỐN GÌ Ở MỘT CHIẾC ÁO THUN ?   ➤ Hàng nhập trực tiếp từ nhà máy, không qua trung gian nên đảm bảo giá rẻ, chất lượng nhất !   ➤ Áo thun VNXK phù hợp với mọi lứa tuổi, có thể mặc...",78000,78000,,,,14.0,,available,,1000.0,1000.0,Áo thun dài tay cổ tim nam,111461.0,OEM
3714997,6493836578470,"Combo 5 Quần Lót Boxer Nam Freeman 6516-CB5 với thiết kế kiểu ôm body gợi cảm, tôn vẻ đẹp hình thể đầy nam tính, quyến rũ của phái mạnh.Kiểu dáng thời trang, trẻ trung, rất thích hợp cho các bạn trẻ...",425000,425000,,,,18.0,,available,,1000.0,1000.0,Combo 5 Quần Lót Boxer Nam Freeman 6516-CB5,205395.0,Freeman
179161990,8717215326113,       *** Chất liệu : thun lụa   5XL < 95kg (tuỳ chiều cao)   6XL < 100kg (tuỳ chiều cao)   7XL < 110kg - 115kg (tuỳ chiều cao)   8XL < 120kg (tuỳ chiều cao)   9XL < 130kg (...,185000,185000,,,,2.0,,available,,1000.0,1000.0,(big size < 130kg) sơ mi nam tay dài màu xanh đen big size,111461.0,OEM
