id,src,name,urlKey
8322,c8322,Nhà Sách Tiki,nha-sach-tiki
1883,c1883,Nhà Cửa - Đời Sống,nha-cua-doi-song
1789,c1789,Điện Thoại - Máy Tính Bảng,dien-thoai-may-tinh-bang
2549,c2549,Đồ Chơi - Mẹ & Bé,do -choi-me-be
1815,c1815,Thiệt Bị Số - Phụ Kiện Số,thiet-bi-kts-phu-kien-so
1882,c1882,Điện Gia Dụng,dien-gia-dung
1520,c1520,Làm Đẹp - Sức Khỏe,lam-dep-suc-koe
8594,c8594,Ô Tô - Xe Máy - Xe Đạp,o-to-xe-may-xe-dap
931,c931,Thời Trang Nữ,thoi-trang-nu
4384,c4384,Bách Hóa Online,bach-hoa-online
1975,c1975,Thể Thao - Dã Ngoại,the-thao-da-ngoai
915,c915,Thười Trang Nam,thoi-trang-nam
17166,c17166,Cross Border - Hàng Quốc Tế,cross-border-hang-quoc-te
1846,c1846,Laptop - Máy Vi Tính - Linh Kiện,laptop-may-vi-tinh-linh-kien
1686,c1686,Giày - Dép Nam,giay-dep-nam
4221,c4221,Điện Tử - Điện Lạnh,dien-tu-dien-lanh
1703,c1703,Giày- Dép Nữ,giay-dep-nu
1801,c1801,Máy Ảnh - Máy Quay Phim,may-anh
27498,c27498,Phụ kiện thời trang,phu-kien-thoi-trang
44792,c44792,NGON,ngon
8371,c8371,Đồng hồ và Trang sức,dong-ho-va-trang-suc
6000,c6000,Balo và Vali,balo-va-vali
11312,c11312,Voucher - Dịch vụ,voucher-dich-vu
976,c976,Túi thời trang nữ,tui-vi-nu
27616,c27616,Túi thời trang nam,tui-thoi-trang-nam
